Date	Rating	Rounds
31-Mar-2002	1019	102
16-Dec-2001	1022	85
26-Aug-2001	1022	82
1-Jul-2001	1020	77
29-Apr-2001	1023	70
16-Dec-2000	1018	64
27-Aug-2000	1014	57
25-Jun-2000	1008	40
30-Apr-2000	995	30
31-Oct-1999	976	22
27-Jun-1999	968	23
25-Apr-1999	971	19
15-Nov-1998	968	12
8-Aug-1998	950	7
13-Mar-2018	1031	68
31-Jan-2018	1029	76
12-Dec-2017	1022	73
14-Nov-2017	1023	73
25-Oct-2017	1025	68
26-Sep-2017	1025	71
22-Aug-2017	1024	72
25-Jul-2017	1024	77
27-Jun-2017	1024	79
23-May-2017	1027	80
26-Apr-2017	1023	81
28-Mar-2017	1022	81
24-Jan-2017	1020	75
6-Dec-2016	1017	74
15-Nov-2016	1019	77
20-Sep-2016	1021	89
16-Aug-2016	1025	85
19-Jul-2016	1024	86
21-Jun-2016	1023	86
17-May-2016	1023	84
19-Apr-2016	1022	85
22-Mar-2016	1023	82
26-Jan-2016	1022	93
8-Dec-2015	1024	95
17-Nov-2015	1024	95
20-Oct-2015	1023	105
30-Sep-2015	1023	102
1-Sep-2015	1020	101
28-Jul-2015	1021	108
23-Jun-2015	1023	116
26-May-2015	1025	112
28-Apr-2015	1025	121
24-Mar-2015	1025	128
27-Jan-2015	1024	128
16-Dec-2014	1026	126
18-Nov-2014	1025	127
28-Oct-2014	1027	127
30-Sep-2014	1026	127
9-Sep-2014	1026	119
26-Aug-2014	1027	116
15-Jul-2014	1030	100
24-Jun-2014	1030	95
27-May-2014	1032	100
15-Apr-2014	1034	90
18-Mar-2014	1034	85
21-Jan-2014	1035	87
17-Dec-2013	1034	83
19-Nov-2013	1035	77
22-Oct-2013	1036	80
1-Oct-2013	1038	83
13-Aug-2013	1038	83
2-Jul-2013	1037	86
11-Jun-2013	1039	80
21-May-2013	1036	77
23-Apr-2013	1036	83
26-Mar-2013	1039	75
26-Feb-2013	1038	76
29-Jan-2013	1036	76
18-Dec-2012	1034	78
23-Oct-2012	1034	74
18-Sep-2012	1035	72
14-Aug-2012	1032	67
3-Jul-2012	1032	59
15-May-2012	1036	55
23-Mar-2012	1034	58
20-Dec-2011	1033	56
22-Nov-2011	1033	52
25-Oct-2011	1035	52
13-Sep-2011	1031	54
12-Jul-2011	1034	52
21-Jun-2011	1035	53
17-May-2011	1029	53
29-Mar-2011	1031	57
14-Dec-2010	1030	61
26-Oct-2010	1028	62
31-Aug-2010	1027	58
22-Jun-2010	1030	70
4-May-2010	1030	66
23-Mar-2010	1028	67
26-Jan-2010	1028	70
15-Dec-2009	1028	70
20-Oct-2009	1028	66
1-Sep-2009	1030	58
21-Jul-2009	1028	58
19-May-2009	1027	61
17-Mar-2009	1034	47
27-Jan-2009	1033	43
25-Nov-2008	1035	37
9-Sep-2008	1028	39
24-Jun-2008	1030	36
13-Nov-2007	1028	78
28-Aug-2007	1026	81
26-Jun-2007	1022	85
10-Apr-2007	1026	81
30-Jan-2007	1024	87
19-Dec-2006	1029	79
19-Sep-2006	1029	81
27-Jun-2006	1030	78
18-Apr-2006	1028	77
24-Jan-2006	1025	77
15-Dec-2005	1023	73
15-Sep-2005	1022	74
15-Jul-2005	1021	74
15-May-2005	1023	57
15-Feb-2005	1022	59
15-Dec-2004	1023	59
15-Sep-2004	1019	61
15-Jul-2004	1021	60
15-May-2004	1018	65
15-Feb-2004	1018	63
15-Dec-2003	1018	57
15-Sep-2003	1017	54
15-Jul-2003	1018	52
15-May-2003	1021	50
15-Mar-2003	1015	46
31-Dec-2002	1016	46
30-Sep-2002	1017	49
28-Jul-2002	1016	46
27-May-2002	1017	50
31-Mar-2002	1015	51
16-Dec-2001	1015	48
26-Aug-2001	1008	38
1-Jul-2001	1003	42
29-Apr-2001	998	45
16-Dec-2000	1005	50
27-Aug-2000	1006	57
25-Jun-2000	1005	52
30-Apr-2000	1009	46
31-Oct-1999	997	35
29-Aug-1999	996	32
27-Jun-1999	983	33
25-Apr-1999	975	26
8-Aug-1998	966	12
30-Aug-2011	1013	4
21-Jun-2011	1003	5
21-Jul-2009	1001	7
13-Nov-2007	1011	21
26-Jun-2007	1015	50
10-Apr-2007	1014	48
19-Dec-2006	1015	46
19-Sep-2006	1014	42
27-Jun-2006	1016	45
18-Apr-2006	1016	42
15-Dec-2005	1016	42
15-Sep-2005	1010	36
15-Jul-2005	1016	28
15-May-2005	1014	26
15-Dec-2004	1020	29
15-Sep-2004	1015	37
15-Jul-2004	1015	38
15-May-2004	1016	32
15-Feb-2004	1016	37
15-Dec-2003	1016	35
15-Sep-2003	1014	37
15-Jul-2003	1017	37
15-May-2003	1020	36
15-Mar-2003	1025	34
31-Dec-2002	1026	34
30-Sep-2002	1024	36
28-Jul-2002	1024	42
27-May-2002	1024	39
31-Mar-2002	1019	38
16-Dec-2001	1018	36
26-Aug-2001	1016	33
1-Jul-2001	1002	31
29-Apr-2001	1002	27
16-Dec-2000	1005	30
27-Aug-2000	1003	28
25-Jun-2000	1008	17
30-Apr-2000	1004	18
31-Oct-1999	1012	23
29-Aug-1999	1006	21
27-Jun-1999	1003	30
25-Apr-1999	1005	30
15-Nov-1998	1006	28
8-Aug-1998	1007	25
13-Mar-2018	993	83
27-Feb-2018	995	81
31-Jan-2018	994	85
12-Dec-2017	994	82
14-Nov-2017	996	75
26-Sep-2017	992	66
22-Aug-2017	990	69
25-Jul-2017	989	72
27-Jun-2017	994	65
23-May-2017	995	74
26-Apr-2017	996	81
28-Mar-2017	996	83
24-Jan-2017	994	77
6-Dec-2016	991	75
15-Nov-2016	992	77
18-Oct-2016	992	86
20-Sep-2016	994	84
16-Aug-2016	994	86
19-Jul-2016	993	87
21-Jun-2016	995	85
17-May-2016	995	85
19-Apr-2016	995	84
22-Mar-2016	993	80
26-Jan-2016	994	80
8-Dec-2015	999	81
17-Nov-2015	1002	83
20-Oct-2015	1001	83
30-Sep-2015	1002	70
28-Jul-2015	998	67
23-Jun-2015	1000	61
